,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
286,Wimbledon,Radek Stepanek,19,14,33,57.58
287,Wimbledon,Radu Albot,4,4,8,50.0
288,Wimbledon,Raemon Sluiter,4,5,9,44.440000000000005
289,Wimbledon,Rafael Nadal,53,12,65,81.54
290,Wimbledon,Rainer Schuettler,18,11,29,62.07
293,Wimbledon,Ricardas Berankis,3,7,10,30.0
296,Wimbledon,Richard Gasquet,28,14,42,66.67
297,Wimbledon,Richard Krajicek,5,2,7,71.43
299,Wimbledon,Robby Ginepri,3,8,11,27.27
300,Wimbledon,Robert Kendrick,1,5,6,16.669999999999998
301,Wimbledon,Roberto Bautista Agut,16,6,22,72.72999999999999
302,Wimbledon,Robin Haase,8,11,19,42.11
303,Wimbledon,Robin Soderling,14,9,23,60.870000000000005
304,Wimbledon,Roger Federer,101,12,113,89.38000000000001
305,Wimbledon,Roko Karanusic,2,4,6,33.33
306,Wimbledon,Ruben Bemelmans,4,7,11,36.36
307,Wimbledon,Ryan Harrison,4,6,10,40.0
309,Wimbledon,Sam Querrey,23,12,35,65.71000000000001
311,Wimbledon,Santiago Giraldo,4,7,11,36.36
312,Wimbledon,Sargis Sargsian,6,6,12,50.0
313,Wimbledon,Scott Draper,2,4,6,33.33
315,Wimbledon,Sebastien Grosjean,20,8,28,71.43
317,Wimbledon,Sergiy Stakhovsky,8,10,18,44.440000000000005
320,Wimbledon,Simone Bolelli,10,9,19,52.629999999999995
321,Wimbledon,Sjeng Schalken,16,5,21,76.19
324,Wimbledon,Stan Wawrinka,20,15,35,57.14
325,Wimbledon,Stefan Koubek,5,9,14,35.709999999999994
326,Wimbledon,Stefano Galvani,3,4,7,42.86
328,Wimbledon,Stefanos Tsitsipas,3,3,6,50.0
330,Wimbledon,Stephane Robert,2,5,7,28.57
331,Wimbledon,Steve Darcis,4,6,10,40.0
332,Wimbledon,Steve Johnson,8,7,15,53.33
334,Wimbledon,Taylor Dent,9,8,17,52.94
335,Wimbledon,Taylor Harry Fritz,2,4,6,33.33
337,Wimbledon,Teymuraz Gabashvili,1,8,9,11.110000000000001
341,Wimbledon,Thomas Enqvist,10,6,16,62.5
342,Wimbledon,Thomas Fabbiano,4,3,7,57.14
343,Wimbledon,Thomas Johansson,12,8,20,60.0
344,Wimbledon,Thomaz Bellucci,4,7,11,36.36
345,Wimbledon,Tim Henman,24,8,32,75.0
347,Wimbledon,Tobias Kamke,3,6,9,33.33
348,Wimbledon,Todd Martin,8,5,13,61.53999999999999
350,Wimbledon,Tomas Berdych,42,15,57,73.68
351,Wimbledon,Tomas Zib,3,5,8,37.5
352,Wimbledon,Tommy Haas,19,12,31,61.29
353,Wimbledon,Tommy Robredo,14,14,28,50.0
355,Wimbledon,Vasek Pospisil,5,8,13,38.46
358,Wimbledon,Victor Hanescu,9,9,18,50.0
359,Wimbledon,Viktor Troicki,14,9,23,60.870000000000005
360,Wimbledon,Vincent Spadea,6,9,15,40.0
361,Wimbledon,Vladimir Voltchkov,5,3,8,62.5
362,Wimbledon,Wayne Arthurs,7,8,15,46.67
364,Wimbledon,Wayne Ferreira,7,5,12,58.330000000000005
367,Wimbledon,Xavier Malisse,20,12,32,62.5
368,Wimbledon,Yen Hsun Lu,11,14,25,44.0
369,Wimbledon,Yevgeny Kafelnikov,5,4,9,55.559999999999995
370,Wimbledon,Younes El Aynaoui,6,4,10,60.0
371,Wimbledon,Yuichi Sugita,1,5,6,16.669999999999998
