,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
87,Australian Open,Denis Kudla,3,6,9,33.33
90,Australian Open,Diego Sebastian Schwartzman,6,5,11,54.55
91,Australian Open,Dmitry Tursunov,5,10,15,33.33
92,Australian Open,Dominic Thiem,10,6,16,62.5
93,Australian Open,Dominik Hrbaty,19,9,28,67.86
94,Australian Open,Donald Young,6,9,15,40.0
95,Australian Open,Dudi Sela,9,12,21,42.86
96,Australian Open,Dusan Lajovic,3,6,9,33.33
97,Australian Open,Edouard Roger Vasselin,5,5,10,50.0
100,Australian Open,Ernests Gulbis,2,9,11,18.18
101,Australian Open,Evgeny Donskoy,5,4,9,55.559999999999995
102,Australian Open,Evgeny Korolev,4,4,8,50.0
103,Australian Open,Fabio Fognini,10,12,22,45.45
104,Australian Open,Fabrice Santoro,13,11,24,54.169999999999995
105,Australian Open,Federico Delbonis,2,6,8,25.0
107,Australian Open,Feliciano Lopez,22,17,39,56.410000000000004
108,Australian Open,Felix Mantilla,3,6,9,33.33
109,Australian Open,Fernando Gonzalez,20,10,30,66.67
110,Australian Open,Fernando Verdasco,24,16,40,60.0
111,Australian Open,Fernando Vicente,5,5,10,50.0
113,Australian Open,Filippo Volandri,1,9,10,10.0
114,Australian Open,Flavio Cipolla,2,4,6,33.33
115,Australian Open,Florent Serra,5,8,13,38.46
116,Australian Open,Florian Mayer,12,12,24,50.0
117,Australian Open,Frances Tiafoe,5,3,8,62.5
118,Australian Open,Francisco Clavet,5,4,9,55.559999999999995
119,Australian Open,Franco Squillari,3,4,7,42.86
120,Australian Open,Frank Dancevic,1,5,6,16.669999999999998
121,Australian Open,Frederico Gil,3,3,6,50.0
123,Australian Open,Gael Monfils,26,14,40,65.0
125,Australian Open,Gaston Gaudio,8,8,16,50.0
127,Australian Open,Gilles Muller,12,12,24,50.0
128,Australian Open,Gilles Simon,24,13,37,64.86
130,Australian Open,Go Soeda,2,5,7,28.57
133,Australian Open,Greg Rusedski,6,4,10,60.0
135,Australian Open,Grigor Dimitrov,23,9,32,71.88
136,Australian Open,Guido Pella,1,5,6,16.669999999999998
138,Australian Open,Guillermo Canas,11,7,18,61.11
139,Australian Open,Guillermo Coria,9,5,14,64.29
140,Australian Open,Guillermo Garcia Lopez,15,14,29,51.72
141,Australian Open,Gustavo Kuerten,4,5,9,44.440000000000005
144,Australian Open,Hicham Arazi,9,5,14,64.29
145,Australian Open,Hyeon Chung,7,3,10,70.0
146,Australian Open,Hyung Taik Lee,2,7,9,22.220000000000002
147,Australian Open,Igor Andreev,7,8,15,46.67
148,Australian Open,Igor Kunitsyn,2,5,7,28.57
150,Australian Open,Illya Marchenko,2,6,8,25.0
152,Australian Open,Ivan Dodig,6,8,14,42.86
153,Australian Open,Ivan Ljubicic,13,13,26,50.0
156,Australian Open,Ivo Karlovic,15,16,31,48.39
157,Australian Open,Jack Sock,4,5,9,44.440000000000005
158,Australian Open,James Blake,21,9,30,70.0
159,Australian Open,James Duckworth,3,7,10,30.0
161,Australian Open,Jan Hajek,1,5,6,16.669999999999998
162,Australian Open,Jan Hernych,4,6,10,40.0
165,Australian Open,Jan Michael Gambill,2,6,8,25.0
168,Australian Open,Janko Tipsarevic,12,10,22,54.55
169,Australian Open,Jarkko Nieminen,17,14,31,54.84
173,Australian Open,Jean Rene Lisnard,3,5,8,37.5
175,Australian Open,Jeremy Chardy,11,11,22,50.0
176,Australian Open,Jerome Golmard,3,4,7,42.86
177,Australian Open,Jerzy Janowicz,6,5,11,54.55
180,Australian Open,Jiri Novak,10,4,14,71.43
181,Australian Open,Jiri Vanek,1,7,8,12.5
182,Australian Open,Jiri Vesely,1,6,7,14.29
183,Australian Open,Jo Wilfried Tsonga,36,11,47,76.6
184,Australian Open,Joachim Johansson,5,4,9,55.559999999999995
185,Australian Open,Joao Sousa,8,7,15,53.33
186,Australian Open,John Isner,13,11,24,54.169999999999995
187,Australian Open,John Millman,4,5,9,44.440000000000005
188,Australian Open,Jonas Bjorkman,7,7,14,50.0
189,Australian Open,Jordan Thompson,2,6,8,25.0
190,Australian Open,Jose Acasuso,2,8,10,20.0
192,Australian Open,Juan Carlos Ferrero,20,11,31,64.52
193,Australian Open,Juan Ignacio Chela,14,11,25,56.00000000000001
194,Australian Open,Juan Martin Del Potro,19,9,28,67.86
195,Australian Open,Juan Monaco,6,11,17,35.29
197,Australian Open,Julien Benneteau,10,13,23,43.480000000000004
199,Australian Open,Jurgen Melzer,14,13,27,51.849999999999994
200,Australian Open,Karen Khachanov,4,3,7,57.14
202,Australian Open,Karol Beck,3,5,8,37.5
203,Australian Open,Karol Kucera,3,5,8,37.5
204,Australian Open,Kei Nishikori,27,9,36,75.0
206,Australian Open,Kevin Anderson,12,11,23,52.17
207,Australian Open,Kevin Kim,3,3,6,50.0
210,Australian Open,Kristof Vliegen,3,5,8,37.5
211,Australian Open,Kyle Edmund,6,5,11,54.55
212,Australian Open,Lars Burgsmuller,4,6,10,40.0
215,Australian Open,Leonardo Mayer,4,9,13,30.769999999999996
216,Australian Open,Lleyton Hewitt,31,17,48,64.58
219,Australian Open,Lucas Pouille,5,6,11,45.45
